state1,state2,lambda_sw
kaede_1,kaede_2,380
kikgr1_1,kikgr1_2,365
pscfp2_1,pscfp2_2,405
meos2_1,meos2_2,405
meos3.2_1,meos3.2_2,405
psmorange_1,psmorange_2,480
mmaple_1,mmaple_2,380
mirisfp_1,mirisfp_2,405
psmorange2_1,psmorange2_2,489
mclavgr2_1,mclavgr2_2,405
mkikgr_1,mkikgr_2,390
