"Name","lambda_ex","lambda_em","stokes","E","QY","brightness","agg","type","pka","bleach","mature","lifetime","DOI"
"iRFP682",663,682,19,90000,0.11,9.9,"d","e",4.5,,,,"10.1038/NMETH.2521"
"iRFP702",673,702,29,93000,0.08,7.4,"d","e",4.5,,,,"10.1038/NMETH.2521"
"iRFP720",702,720,18,96000,0.06,5.8,"d","e",4.5,,,,"10.1038/NMETH.2521"
"TagRFP675",598,675,77,46000,0.08,3.7,"m","i",5.7,,25,0.9,"10.1038/srep01847"
"mAmetrine",406,526,120,45000,0.58,26.1,"m","i",6,2.8,,,"10.1038/NMETH.1207"
"mNectarine",558,578,20,58000,0.45,26.1,"m","i",6.9,11,30,,"10.1074/jbc.M109.019042"
"lanRFP-&Delta;S83",521,592,71,71000,0.1,7.1,"d","i",4.7,,720,,"10.1107/S0907444913015424"
"LSSmOrange",437,572,135,52000,0.45,23.4,"m","i",5.7,,138,,"10.1021/ja3018972"
"mPapaya1",530,541,11,43000,0.83,35.7,"m","i",6.8,,,,"10.1016/j.chembiol.2013.08.008"
"Aquamarine",430,474,44,26000,0.89,23.1,"m","i",3.3,,,4.1,"10.1039/c2mb25303h"
